Product,Region,Q1_Sales,Q2_Sales,Q3_Sales,Q4_Sales,Units_Sold,Profit_Margin
Widget Pro,North America,125000,148000,167000,195000,12500,0.32
Widget Lite,Europe,89000,92000,85000,110000,18000,0.25
Enterprise Suite,North America,340000,355000,420000,480000,850,0.45
Widget Pro,Europe,95000,102000,118000,135000,9800,0.30
Data Connector,Asia Pacific,67000,78000,95000,112000,5600,0.38
Widget Lite,North America,112000,118000,105000,140000,22000,0.22
Enterprise Suite,Europe,280000,295000,310000,365000,720,0.42
Cloud Platform,North America,450000,520000,610000,725000,3200,0.52
Data Connector,North America,85000,92000,108000,128000,7200,0.35
Cloud Platform,Europe,320000,380000,445000,510000,2800,0.48
Widget Pro,Asia Pacific,72000,85000,98000,115000,8200,0.28
Enterprise Suite,Asia Pacific,195000,220000,265000,310000,480,0.40
Widget Lite,Asia Pacific,55000,62000,58000,75000,14000,0.20
Cloud Platform,Asia Pacific,210000,255000,305000,370000,1900,0.46
Data Connector,Europe,48000,55000,68000,82000,4200,0.33
